"CPP","Year","Indicator","Type","value"
"Glasgow City","2008/09","Healthy Birthweight","Raw",89.2420877290394
"North Lanarkshire","2008/09","Healthy Birthweight","Raw",88.8773388773389
"Clackmannanshire","2009/10","Healthy Birthweight","Raw",89.247311827957
"Dumfries and Galloway","2009/10","Healthy Birthweight","Raw",89.290780141844
"East Ayrshire","2009/10","Healthy Birthweight","Raw",89.7035881435257
"East Lothian","2009/10","Healthy Birthweight","Raw",89.3453145057766
"East Renfrewshire","2009/10","Healthy Birthweight","Raw",88.556566970091
"Eilean Siar","2009/10","Healthy Birthweight","Raw",85.981308411215
"Falkirk","2009/10","Healthy Birthweight","Raw",88.3565459610028
"Highland","2009/10","Healthy Birthweight","Raw",89.5814781834372
"Inverclyde","2009/10","Healthy Birthweight","Raw",89.6464646464647
"Midlothian","2009/10","Healthy Birthweight","Raw",88.6091127098321
"Moray","2009/10","Healthy Birthweight","Raw",89.8803046789989
"North Ayrshire","2009/10","Healthy Birthweight","Raw",89.0857547838412
"Orkney Islands","2009/10","Healthy Birthweight","Raw",86.9565217391304
"Scottish Borders","2009/10","Healthy Birthweight","Raw",89.433237271854
"Shetland Islands","2009/10","Healthy Birthweight","Raw",90.8424908424908
"South Ayrshire","2009/10","Healthy Birthweight","Raw",89.9793388429752
"South Lanarkshire","2009/10","Healthy Birthweight","Raw",88.3349312879514
"Stirling","2009/10","Healthy Birthweight","Raw",89.8823529411765
"Aberdeen City","2009/10","Healthy Birthweight","Raw",90.0517309988062
"Aberdeenshire","2009/10","Healthy Birthweight","Raw",89.748267055819
"Argyll and Bute","2009/10","Healthy Birthweight","Raw",89.4594594594595
"Edinburgh, City of","2009/10","Healthy Birthweight","Raw",89.6532542184313
"Renfrewshire","2009/10","Healthy Birthweight","Raw",89.5227646736149
"West Dunbartonshire","2009/10","Healthy Birthweight","Raw",87.01171875
"West Lothian","2009/10","Healthy Birthweight","Raw",90.2325581395349
"Angus","2009/10","Healthy Birthweight","Raw",90.4007455731594
"Dundee City","2009/10","Healthy Birthweight","Raw",89.3255131964809
"East Dunbartonshire","2009/10","Healthy Birthweight","Raw",88.6813186813187
"Fife","2009/10","Healthy Birthweight","Raw",88.9165009940358
"Perth and Kinross","2009/10","Healthy Birthweight","Raw",88.8332140300644
"Glasgow City","2009/10","Healthy Birthweight","Raw",88.6111861659011
"North Lanarkshire","2009/10","Healthy Birthweight","Raw",88.9477869069706
"Clackmannanshire","2010/11","Healthy Birthweight","Raw",89.4824707846411
"Dumfries and Galloway","2010/11","Healthy Birthweight","Raw",87.7834674469642
"East Ayrshire","2010/11","Healthy Birthweight","Raw",89.9843505477308
"East Lothian","2010/11","Healthy Birthweight","Raw",89.5981087470449
"East Renfrewshire","2010/11","Healthy Birthweight","Raw",89.1414141414141
"Eilean Siar","2010/11","Healthy Birthweight","Raw",90.1960784313726
"Falkirk","2010/11","Healthy Birthweight","Raw",89.5662368112544
"Highland","2010/11","Healthy Birthweight","Raw",90.438939591482
"Inverclyde","2010/11","Healthy Birthweight","Raw",92.4281984334204
"Midlothian","2010/11","Healthy Birthweight","Raw",89.5522388059701
"Moray","2010/11","Healthy Birthweight","Raw",90.2411021814007
"North Ayrshire","2010/11","Healthy Birthweight","Raw",88.0306193458594
"Orkney Islands","2010/11","Healthy Birthweight","Raw",90.3225806451613
"Scottish Borders","2010/11","Healthy Birthweight","Raw",89.5393474088292
"Shetland Islands","2010/11","Healthy Birthweight","Raw",91.1392405063291
"South Ayrshire","2010/11","Healthy Birthweight","Raw",89.5635673624288
"South Lanarkshire","2010/11","Healthy Birthweight","Raw",89.3329234552721
"Stirling","2010/11","Healthy Birthweight","Raw",88.4758364312268
"Aberdeen City","2010/11","Healthy Birthweight","Raw",89.8993808049536
"Aberdeenshire","2010/11","Healthy Birthweight","Raw",90.4610492845787
"Argyll and Bute","2010/11","Healthy Birthweight","Raw",89.9713467048711
"Edinburgh, City of","2010/11","Healthy Birthweight","Raw",89.9533548618586
"Renfrewshire","2010/11","Healthy Birthweight","Raw",89.7814207650273
"West Dunbartonshire","2010/11","Healthy Birthweight","Raw",90.3128153380424
"West Lothian","2010/11","Healthy Birthweight","Raw",89.5421436004162
"Angus","2010/11","Healthy Birthweight","Raw",89.2463235294118
"Dundee City","2010/11","Healthy Birthweight","Raw",90.7004830917874
"East Dunbartonshire","2010/11","Healthy Birthweight","Raw",88.2224645583424
"Fife","2010/11","Healthy Birthweight","Raw",87.717553455992
"Perth and Kinross","2010/11","Healthy Birthweight","Raw",90.4458598726115
"Glasgow City","2010/11","Healthy Birthweight","Raw",89.5602876106195
"North Lanarkshire","2010/11","Healthy Birthweight","Raw",88.3599339570721
"Clackmannanshire","2011/12","Healthy Birthweight","Raw",88.2562277580071
"Dumfries and Galloway","2011/12","Healthy Birthweight","Raw",90.0297619047619
"East Ayrshire","2011/12","Healthy Birthweight","Raw",88.9894419306184
"East Lothian","2011/12","Healthy Birthweight","Raw",90.3470715835141
"East Renfrewshire","2011/12","Healthy Birthweight","Raw",90.0744416873449
"Eilean Siar","2011/12","Healthy Birthweight","Raw",85.3061224489796
"Falkirk","2011/12","Healthy Birthweight","Raw",88.6616014026885
"Highland","2011/12","Healthy Birthweight","Raw",88.8648180242634
"Inverclyde","2011/12","Healthy Birthweight","Raw",89.9470899470899
"Midlothian","2011/12","Healthy Birthweight","Raw",88.2214369846879
"Moray","2011/12","Healthy Birthweight","Raw",88.6946386946387
"North Ayrshire","2011/12","Healthy Birthweight","Raw",88.3369330453564
"Orkney Islands","2011/12","Healthy Birthweight","Raw",85.2040816326531
"Scottish Borders","2011/12","Healthy Birthweight","Raw",89.9795501022495
"Shetland Islands","2011/12","Healthy Birthweight","Raw",89.4957983193277
"South Ayrshire","2011/12","Healthy Birthweight","Raw",89.2462311557789
"South Lanarkshire","2011/12","Healthy Birthweight","Raw",89.2368501064153
"Stirling","2011/12","Healthy Birthweight","Raw",88.2783882783883
"Aberdeen City","2011/12","Healthy Birthweight","Raw",89.9476831091181
"Aberdeenshire","2011/12","Healthy Birthweight","Raw",90.3172641120725
"Argyll and Bute","2011/12","Healthy Birthweight","Raw",89.8591549295775
"Edinburgh, City of","2011/12","Healthy Birthweight","Raw",89.7546897546897
"Renfrewshire","2011/12","Healthy Birthweight","Raw",89.8692810457516
"West Dunbartonshire","2011/12","Healthy Birthweight","Raw",90.1785714285714
"West Lothian","2011/12","Healthy Birthweight","Raw",90.1408450704225
"Angus","2011/12","Healthy Birthweight","Raw",89.4691035683203
"Dundee City","2011/12","Healthy Birthweight","Raw",88.9602803738318
"East Dunbartonshire","2011/12","Healthy Birthweight","Raw",88.7731481481482
"Fife","2011/12","Healthy Birthweight","Raw",88.5375494071146
"Perth and Kinross","2011/12","Healthy Birthweight","Raw",86.9877785765636
"Glasgow City","2011/12","Healthy Birthweight","Raw",89.3841166936791
"North Lanarkshire","2011/12","Healthy Birthweight","Raw",88.1806108897742
"Clackmannanshire","2012/13","Healthy Birthweight","Raw",87.1750433275563
"Dumfries and Galloway","2012/13","Healthy Birthweight","Raw",88.6066204772902
"East Ayrshire","2012/13","Healthy Birthweight","Raw",88.79173290938
"East Lothian","2012/13","Healthy Birthweight","Raw",89.524838012959
"East Renfrewshire","2012/13","Healthy Birthweight","Raw",89.0243902439024
"Eilean Siar","2012/13","Healthy Birthweight","Raw",84.8484848484848
"Falkirk","2012/13","Healthy Birthweight","Raw",89.6278218425869
"Highland","2012/13","Healthy Birthweight","Raw",89.5089285714286
"Inverclyde","2012/13","Healthy Birthweight","Raw",90.1333333333333
"Midlothian","2012/13","Healthy Birthweight","Raw",89.8989898989899
"Moray","2012/13","Healthy Birthweight","Raw",91.6188289322618
"North Ayrshire","2012/13","Healthy Birthweight","Raw",87.7055599060298
"Orkney Islands","2012/13","Healthy Birthweight","Raw",86.0103626943005
"Scottish Borders","2012/13","Healthy Birthweight","Raw",89.1783567134269
"Shetland Islands","2012/13","Healthy Birthweight","Raw",88.0434782608696
"South Ayrshire","2012/13","Healthy Birthweight","Raw",89.6273917421954
"South Lanarkshire","2012/13","Healthy Birthweight","Raw",89.0515595162317
"Stirling","2012/13","Healthy Birthweight","Raw",88.4517766497462
"Aberdeen City","2012/13","Healthy Birthweight","Raw",89.8373983739837
"Aberdeenshire","2012/13","Healthy Birthweight","Raw",89.1881028938907
"Argyll and Bute","2012/13","Healthy Birthweight","Raw",88.7323943661972
"Edinburgh, City of","2012/13","Healthy Birthweight","Raw",90.0780379041249
"Renfrewshire","2012/13","Healthy Birthweight","Raw",89.3409742120344
"West Dunbartonshire","2012/13","Healthy Birthweight","Raw",88.6203423967774
"West Lothian","2012/13","Healthy Birthweight","Raw",89.5101171458999
"Angus","2012/13","Healthy Birthweight","Raw",88.7170154686078
"Dundee City","2012/13","Healthy Birthweight","Raw",90.8373786407767
"East Dunbartonshire","2012/13","Healthy Birthweight","Raw",89.9543378995434
"Fife","2012/13","Healthy Birthweight","Raw",88.3935637035083
"Perth and Kinross","2012/13","Healthy Birthweight","Raw",90.4376012965964
"Glasgow City","2012/13","Healthy Birthweight","Raw",88.7383114243122
"North Lanarkshire","2012/13","Healthy Birthweight","Raw",89.3687707641196
"Clackmannanshire","2013/14","Healthy Birthweight","Raw",90.3288201160542
"Dumfries and Galloway","2013/14","Healthy Birthweight","Raw",90.8212560386473
"East Ayrshire","2013/14","Healthy Birthweight","Raw",89.5076674737692
"East Lothian","2013/14","Healthy Birthweight","Raw",90.391061452514
"East Renfrewshire","2013/14","Healthy Birthweight","Raw",86.7730900798176
"Eilean Siar","2013/14","Healthy Birthweight","Raw",90.0826446280992
"Falkirk","2013/14","Healthy Birthweight","Raw",89.3382352941177
"Highland","2013/14","Healthy Birthweight","Raw",89.5124195032199
"Inverclyde","2013/14","Healthy Birthweight","Raw",92.8077455048409
"Midlothian","2013/14","Healthy Birthweight","Raw",89.1803278688525
"Moray","2013/14","Healthy Birthweight","Raw",89.7435897435898
"North Ayrshire","2013/14","Healthy Birthweight","Raw",89.1129032258064
"Orkney Islands","2013/14","Healthy Birthweight","Raw",91.1111111111111
"Scottish Borders","2013/14","Healthy Birthweight","Raw",89.7435897435898
"Shetland Islands","2013/14","Healthy Birthweight","Raw",90.7894736842105
"South Ayrshire","2013/14","Healthy Birthweight","Raw",88.9237199582027
"South Lanarkshire","2013/14","Healthy Birthweight","Raw",90.3446033810143
"Stirling","2013/14","Healthy Birthweight","Raw",87.7450980392157
"Aberdeen City","2013/14","Healthy Birthweight","Raw",90.1852581789515
"Aberdeenshire","2013/14","Healthy Birthweight","Raw",89.5719844357977
"Argyll and Bute","2013/14","Healthy Birthweight","Raw",86.046511627907
"Edinburgh, City of","2013/14","Healthy Birthweight","Raw",90.8144958736993
"Renfrewshire","2013/14","Healthy Birthweight","Raw",89.1764705882353
"West Dunbartonshire","2013/14","Healthy Birthweight","Raw",87.089715536105
"West Lothian","2013/14","Healthy Birthweight","Raw",90.8174097664543
"Angus","2013/14","Healthy Birthweight","Raw",89.5454545454545
"Dundee City","2013/14","Healthy Birthweight","Raw",90.150032615786
"East Dunbartonshire","2013/14","Healthy Birthweight","Raw",87.8125
"Fife","2013/14","Healthy Birthweight","Raw",88.2290562036055
"Perth and Kinross","2013/14","Healthy Birthweight","Raw",88.5556432517758
"Glasgow City","2013/14","Healthy Birthweight","Raw",89.6694214876033
"North Lanarkshire","2013/14","Healthy Birthweight","Raw",89.7301762114538
"Clackmannanshire","2014/15","Healthy Birthweight","Raw",88.8675623800384
"Dumfries and Galloway","2014/15","Healthy Birthweight","Raw",91.2933220625528
"East Ayrshire","2014/15","Healthy Birthweight","Raw",89.5920066611157
"East Lothian","2014/15","Healthy Birthweight","Raw",90.1522842639594
"East Renfrewshire","2014/15","Healthy Birthweight","Raw",88.05256869773
"Eilean Siar","2014/15","Healthy Birthweight","Raw",87.4371859296482
"Falkirk","2014/15","Healthy Birthweight","Raw",89.7513644633111
"Highland","2014/15","Healthy Birthweight","Raw",88.559708295351
"Inverclyde","2014/15","Healthy Birthweight","Raw",90.1875901875902
"Midlothian","2014/15","Healthy Birthweight","Raw",89.7177419354839
"Moray","2014/15","Healthy Birthweight","Raw",90.0237529691211
"North Ayrshire","2014/15","Healthy Birthweight","Raw",89.2568659127625
"Orkney Islands","2014/15","Healthy Birthweight","Raw",91.1764705882353
"Scottish Borders","2014/15","Healthy Birthweight","Raw",89.7522522522522
"Shetland Islands","2014/15","Healthy Birthweight","Raw",88.4297520661157
"South Ayrshire","2014/15","Healthy Birthweight","Raw",89.4995093228655
"South Lanarkshire","2014/15","Healthy Birthweight","Raw",89.663534404365
"Stirling","2014/15","Healthy Birthweight","Raw",88.3507853403141
"Aberdeen City","2014/15","Healthy Birthweight","Raw",89.5466466841514
"Aberdeenshire","2014/15","Healthy Birthweight","Raw",89.9604743083004
"Argyll and Bute","2014/15","Healthy Birthweight","Raw",87.2146118721461
"Edinburgh, City of","2014/15","Healthy Birthweight","Raw",90.266692622153
"Renfrewshire","2014/15","Healthy Birthweight","Raw",89.3995098039216
"West Dunbartonshire","2014/15","Healthy Birthweight","Raw",86.7614879649891
"West Lothian","2014/15","Healthy Birthweight","Raw",90.1940220241217
"Angus","2014/15","Healthy Birthweight","Raw",90.0547445255474
"Dundee City","2014/15","Healthy Birthweight","Raw",88.7736424649176
"East Dunbartonshire","2014/15","Healthy Birthweight","Raw",87.9690949227373
"Fife","2014/15","Healthy Birthweight","Raw",88.280185336604
"Perth and Kinross","2014/15","Healthy Birthweight","Raw",88.2001493651979
"Glasgow City","2014/15","Healthy Birthweight","Raw",89.2994721072906
"North Lanarkshire","2014/15","Healthy Birthweight","Raw",88.6203989884799
"Clackmannanshire","2015/16","Healthy Birthweight","Raw",90.1701323251418
"Dumfries and Galloway","2015/16","Healthy Birthweight","Raw",89.6607431340872
"East Ayrshire","2015/16","Healthy Birthweight","Raw",89.9274778404512
"East Lothian","2015/16","Healthy Birthweight","Raw",89.3069306930693
"East Renfrewshire","2015/16","Healthy Birthweight","Raw",88.6390532544379
"Eilean Siar","2015/16","Healthy Birthweight","Raw",89.041095890411
"Falkirk","2015/16","Healthy Birthweight","Raw",90.1290322580645
"Highland","2015/16","Healthy Birthweight","Raw",89.5734597156398
"Inverclyde","2015/16","Healthy Birthweight","Raw",88.2265275707899
"Midlothian","2015/16","Healthy Birthweight","Raw",89.9521531100478
"Moray","2015/16","Healthy Birthweight","Raw",87.6756756756757
"North Ayrshire","2015/16","Healthy Birthweight","Raw",89.0082644628099
"Orkney Islands","2015/16","Healthy Birthweight","Raw",89.8936170212766
"Scottish Borders","2015/16","Healthy Birthweight","Raw",90.5982905982906
"Shetland Islands","2015/16","Healthy Birthweight","Raw",88.7323943661972
"South Ayrshire","2015/16","Healthy Birthweight","Raw",88.4937238493724
"South Lanarkshire","2015/16","Healthy Birthweight","Raw",89.3651832460733
"Stirling","2015/16","Healthy Birthweight","Raw",89.1521197007481
"Aberdeen City","2015/16","Healthy Birthweight","Raw",90.0677200902935
"Aberdeenshire","2015/16","Healthy Birthweight","Raw",91.0789172703012
"Argyll and Bute","2015/16","Healthy Birthweight","Raw",89.2575039494471
"Edinburgh, City of","2015/16","Healthy Birthweight","Raw",90.3471138845554
"Renfrewshire","2015/16","Healthy Birthweight","Raw",88.4480746791132
"West Dunbartonshire","2015/16","Healthy Birthweight","Raw",87.8547105561861
"West Lothian","2015/16","Healthy Birthweight","Raw",89.5212765957447
"Angus","2015/16","Healthy Birthweight","Raw",90.4761904761905
"Dundee City","2015/16","Healthy Birthweight","Raw",90.1540522438044
"East Dunbartonshire","2015/16","Healthy Birthweight","Raw",88.9004149377593
"Fife","2015/16","Healthy Birthweight","Raw",88.3116883116883
"Perth and Kinross","2015/16","Healthy Birthweight","Raw",89.048760991207
"Glasgow City","2015/16","Healthy Birthweight","Raw",88.9954270541378
"North Lanarkshire","2015/16","Healthy Birthweight","Raw",90.4066437571592
"Clackmannanshire","2016/17","Healthy Birthweight","Raw",90.3162055335968
"Dumfries and Galloway","2016/17","Healthy Birthweight","Raw",88.1720430107527
"East Ayrshire","2016/17","Healthy Birthweight","Raw",90.5754795663052
"East Lothian","2016/17","Healthy Birthweight","Raw",88.911495422177
"East Renfrewshire","2016/17","Healthy Birthweight","Raw",89.5306859205776
"Eilean Siar","2016/17","Healthy Birthweight","Raw",90.0900900900901
"Falkirk","2016/17","Healthy Birthweight","Raw",90.8190224570674
"Highland","2016/17","Healthy Birthweight","Raw",89.5588235294118
"Inverclyde","2016/17","Healthy Birthweight","Raw",92.412746585736
"Midlothian","2016/17","Healthy Birthweight","Raw",88.7049659201558
"Moray","2016/17","Healthy Birthweight","Raw",88.8762769580023
"North Ayrshire","2016/17","Healthy Birthweight","Raw",90.2777777777778
"Orkney Islands","2016/17","Healthy Birthweight","Raw",92.0454545454545
"Scottish Borders","2016/17","Healthy Birthweight","Raw",91.7620137299771
"Shetland Islands","2016/17","Healthy Birthweight","Raw",87.6984126984127
"South Ayrshire","2016/17","Healthy Birthweight","Raw",88.7473460721868
"South Lanarkshire","2016/17","Healthy Birthweight","Raw",88.7404580152672
"Stirling","2016/17","Healthy Birthweight","Raw",90.2777777777778
"Aberdeen City","2016/17","Healthy Birthweight","Raw",91.0130074891604
"Aberdeenshire","2016/17","Healthy Birthweight","Raw",90.4724409448819
"Argyll and Bute","2016/17","Healthy Birthweight","Raw",88.0597014925373
"Edinburgh, City of","2016/17","Healthy Birthweight","Raw",89.9361022364217
"Renfrewshire","2016/17","Healthy Birthweight","Raw",87.1841155234657
"West Dunbartonshire","2016/17","Healthy Birthweight","Raw",89.3854748603352
"West Lothian","2016/17","Healthy Birthweight","Raw",87.9255319148936
"Angus","2016/17","Healthy Birthweight","Raw",88.7966804979253
"Dundee City","2016/17","Healthy Birthweight","Raw",91.3872452333991
"East Dunbartonshire","2016/17","Healthy Birthweight","Raw",86.1228813559322
"Fife","2016/17","Healthy Birthweight","Raw",87.4929258630447
"Perth and Kinross","2016/17","Healthy Birthweight","Raw",88.9580093312597
"Glasgow City","2016/17","Healthy Birthweight","Raw",87.3287671232877
"North Lanarkshire","2016/17","Healthy Birthweight","Raw",88.1335718545021
"Clackmannanshire","2017/18","Healthy Birthweight","Raw",89.2787524366472
"Dumfries and Galloway","2017/18","Healthy Birthweight","Raw",90.8646003262643
"East Ayrshire","2017/18","Healthy Birthweight","Raw",90.9090909090909
"East Lothian","2017/18","Healthy Birthweight","Raw",87.9955947136564
"East Renfrewshire","2017/18","Healthy Birthweight","Raw",87.3798076923077
"Eilean Siar","2017/18","Healthy Birthweight","Raw",87.9581151832461
"Falkirk","2017/18","Healthy Birthweight","Raw",89.8281786941581
"Highland","2017/18","Healthy Birthweight","Raw",89.8536092882383
"Inverclyde","2017/18","Healthy Birthweight","Raw",87.2340425531915
"Midlothian","2017/18","Healthy Birthweight","Raw",89.1682785299807
"Moray","2017/18","Healthy Birthweight","Raw",91.2988650693569
"North Ayrshire","2017/18","Healthy Birthweight","Raw",89.9059024807528
"Orkney Islands","2017/18","Healthy Birthweight","Raw",86.4197530864197
"Scottish Borders","2017/18","Healthy Birthweight","Raw",89.4273127753304
"Shetland Islands","2017/18","Healthy Birthweight","Raw",83.4146341463415
"South Ayrshire","2017/18","Healthy Birthweight","Raw",88.9380530973451
"South Lanarkshire","2017/18","Healthy Birthweight","Raw",88.2968290290945
"Stirling","2017/18","Healthy Birthweight","Raw",91.005291005291
"Aberdeen City","2017/18","Healthy Birthweight","Raw",90.3526550466153
"Aberdeenshire","2017/18","Healthy Birthweight","Raw",90.9090909090909
"Argyll and Bute","2017/18","Healthy Birthweight","Raw",79.3624161073825
"Edinburgh, City of","2017/18","Healthy Birthweight","Raw",90.7491721854305
"Renfrewshire","2017/18","Healthy Birthweight","Raw",85.9689476710753
"West Dunbartonshire","2017/18","Healthy Birthweight","Raw",88.5357548240636
"West Lothian","2017/18","Healthy Birthweight","Raw",87.9168944778568
"Angus","2017/18","Healthy Birthweight","Raw",89.1170431211499
"Dundee City","2017/18","Healthy Birthweight","Raw",89.3511988716502
"East Dunbartonshire","2017/18","Healthy Birthweight","Raw",87.0967741935484
"Fife","2017/18","Healthy Birthweight","Raw",89.5758661887694
"Perth and Kinross","2017/18","Healthy Birthweight","Raw",89.4189071986123
"Glasgow City","2017/18","Healthy Birthweight","Raw",87.0390539909756
"North Lanarkshire","2017/18","Healthy Birthweight","Raw",89.6511627906977
"Clackmannanshire","2018/19","Healthy Birthweight","Raw",91.8465227817746
"Dumfries and Galloway","2018/19","Healthy Birthweight","Raw",91.6890080428954
"East Ayrshire","2018/19","Healthy Birthweight","Raw",90.3460837887067
"East Lothian","2018/19","Healthy Birthweight","Raw",89.5287958115183
"East Renfrewshire","2018/19","Healthy Birthweight","Raw",89.5933014354067
"Eilean Siar","2018/19","Healthy Birthweight","Raw",88.9447236180904
"Falkirk","2018/19","Healthy Birthweight","Raw",91.2139503688799
"Highland","2018/19","Healthy Birthweight","Raw",88.6942675159236
"Inverclyde","2018/19","Healthy Birthweight","Raw",90
"Midlothian","2018/19","Healthy Birthweight","Raw",89.8648648648649
"Moray","2018/19","Healthy Birthweight","Raw",89.321608040201
"North Ayrshire","2018/19","Healthy Birthweight","Raw",90.9943714821764
"Orkney Islands","2018/19","Healthy Birthweight","Raw",85.632183908046
"Scottish Borders","2018/19","Healthy Birthweight","Raw",90.4653802497162
"Shetland Islands","2018/19","Healthy Birthweight","Raw",89.3401015228426
"South Ayrshire","2018/19","Healthy Birthweight","Raw",91.5789473684211
"South Lanarkshire","2018/19","Healthy Birthweight","Raw",89.2235609103079
"Stirling","2018/19","Healthy Birthweight","Raw",90.7608695652174
"Aberdeen City","2018/19","Healthy Birthweight","Raw",90.4432696217975
"Aberdeenshire","2018/19","Healthy Birthweight","Raw",89.8218829516539
"Argyll and Bute","2018/19","Healthy Birthweight","Raw",90.8026755852843
"Edinburgh, City of","2018/19","Healthy Birthweight","Raw",90.5801755512738
"Renfrewshire","2018/19","Healthy Birthweight","Raw",90.4176904176904
"West Dunbartonshire","2018/19","Healthy Birthweight","Raw",90.2923976608187
"West Lothian","2018/19","Healthy Birthweight","Raw",88.0829015544041
"Angus","2018/19","Healthy Birthweight","Raw",90.2732240437159
"Dundee City","2018/19","Healthy Birthweight","Raw",89.8916967509025
"East Dunbartonshire","2018/19","Healthy Birthweight","Raw",90.9799554565702
"Fife","2018/19","Healthy Birthweight","Raw",90.3206291591047
"Perth and Kinross","2018/19","Healthy Birthweight","Raw",90.5829596412556
"Glasgow City","2018/19","Healthy Birthweight","Raw",90.5996252342286
"North Lanarkshire","2018/19","Healthy Birthweight","Raw",89.4720687538367
"Clackmannanshire","2019/20","Healthy Birthweight","Raw",92.4574209245742
"Dumfries and Galloway","2019/20","Healthy Birthweight","Raw",89.9175068744271
"East Ayrshire","2019/20","Healthy Birthweight","Raw",89.7940913160251
"East Lothian","2019/20","Healthy Birthweight","Raw",89.5671476137625
"East Renfrewshire","2019/20","Healthy Birthweight","Raw",87.9487179487179
"Eilean Siar","2019/20","Healthy Birthweight","Raw",88.2352941176471
"Falkirk","2019/20","Healthy Birthweight","Raw",89.4387001477105
"Highland","2019/20","Healthy Birthweight","Raw",90.4226859283039
"Inverclyde","2019/20","Healthy Birthweight","Raw",91.2106135986733
"Midlothian","2019/20","Healthy Birthweight","Raw",90.0512820512821
"Moray","2019/20","Healthy Birthweight","Raw",91.2938331318017
"North Ayrshire","2019/20","Healthy Birthweight","Raw",89.4545454545455
"Orkney Islands","2019/20","Healthy Birthweight","Raw",88.1656804733728
"Scottish Borders","2019/20","Healthy Birthweight","Raw",89.2682926829268
"Shetland Islands","2019/20","Healthy Birthweight","Raw",85.0267379679144
"South Ayrshire","2019/20","Healthy Birthweight","Raw",90.0954653937948
"South Lanarkshire","2019/20","Healthy Birthweight","Raw",89.9763752953088
"Stirling","2019/20","Healthy Birthweight","Raw",90.2439024390244
"Aberdeen City","2019/20","Healthy Birthweight","Raw",91.9910514541387
"Aberdeenshire","2019/20","Healthy Birthweight","Raw",90.2518656716418
"Argyll and Bute","2019/20","Healthy Birthweight","Raw",89.6013864818024
"Edinburgh, City of","2019/20","Healthy Birthweight","Raw",90.1805869074492
"Renfrewshire","2019/20","Healthy Birthweight","Raw",90.9871244635193
"West Dunbartonshire","2019/20","Healthy Birthweight","Raw",91.5737298636927
"West Lothian","2019/20","Healthy Birthweight","Raw",88.6223862238622
"Angus","2019/20","Healthy Birthweight","Raw",88.5809312638581
"Dundee City","2019/20","Healthy Birthweight","Raw",89.8355754857997
"East Dunbartonshire","2019/20","Healthy Birthweight","Raw",88.6046511627907
"Fife","2019/20","Healthy Birthweight","Raw",89.6797153024911
"Perth and Kinross","2019/20","Healthy Birthweight","Raw",88.8694127957932
"Glasgow City","2019/20","Healthy Birthweight","Raw",90.3905363798412
"North Lanarkshire","2019/20","Healthy Birthweight","Raw",90.4953560371517
"Clackmannanshire","2020/21","Healthy Birthweight","Raw",88
"Dumfries and Galloway","2020/21","Healthy Birthweight","Raw",88.8052681091251
"East Ayrshire","2020/21","Healthy Birthweight","Raw",89.3762183235867
"East Lothian","2020/21","Healthy Birthweight","Raw",87.3997709049255
"East Renfrewshire","2020/21","Healthy Birthweight","Raw",91.588785046729
"Eilean Siar","2020/21","Healthy Birthweight","Raw",91.358024691358
"Falkirk","2020/21","Healthy Birthweight","Raw",88.9447236180904
"Highland","2020/21","Healthy Birthweight","Raw",89.2290249433106
"Inverclyde","2020/21","Healthy Birthweight","Raw",92.5589836660617
"Midlothian","2020/21","Healthy Birthweight","Raw",89.1747052518757
